000308D5-4638-4357-A910-9F3F1E04774D,2020-01-01 20:11:02.0100000,BAJ1_Zayed_bg_Erd_20L_En5,Sheik Zayed,Entry,100,57882,100,1014,AD Private,17,AD,100,17,31,116,100
0003EA81-4745-458F-9B77-2CDDE21E134E,2020-01-01 20:14:20.5500000,BAJ1_Zayed_bg_Erd_21L_Ex4,Sheik Zayed,Exit,100,55149,100,1013,AD Private,16,AD,100,16,29,90,100
000F9CB9-D0B1-40F2-8FBE-AED63597D4C8,2020-01-01 20:12:42.4400000,BAJ1_Zayed_bg_Erd_21L_Ex3,Sheik Zayed,Exit,100,42967,100,1007,AD Private,10,AD,100,10,17,107,100
003E5D6A-E4A7-4F66-9733-88CC435ABD0A,2020-01-01 20:11:17.4900000,E19_Khalifa_br_S_1g_L2,Sheik Khalifa,Entry,100,40345,100,1011,AD Private,14,AD,100,14,25,98,100
007CDF07-85E6-48EC-8F68-9CE78966A242,2020-01-01 20:11:21.8900000,A5_Airport_st_E_2g_L3,Mussafah,Exit,100,7514,100,1001,AD Private,4,AD,100,4,5,109,100
0085341C-08F4-4BC6-8195-3FBC9E4254DA,2020-01-01 20:13:22.0600000,A3_Al Maktoum_st_E_64g_L1,Al Maqta,Exit,100,45016,100,1010,AD Private,13,AD,100,13,23,84,100
00D5F637-08A5-4D5A-A339-A4D6F8938BC2,2020-01-01 20:12:49.1600000,A3_Al Maktoum_st_W_1g_L2,Al Maqta,Entry,100,32346,100,1033,Dubai,D,DXB,100,D,104,86,100
01D26597-0394-4819-8C79-072F463D09EB,2020-01-01 20:11:32.6100000,BAJ1_Zayed_bg_Erd_20L_En4,Sheik Zayed,Entry,100,64698,100,1111,Sharjah,2,SHJ,100,2,203,103,100
01DBD05C-B805-4164-8D90-5C7806942B85,2020-01-01 20:10:43.0300000,A5_Airport_st_W_35g_L1,Mussafah,Entry,100,91752,100,1049,Dubai,T,DXB,100,T,120,86,100
0204D091-A2A9-4754-B50E-5F59832977AD,2020-01-01 20:14:59.2600000,A5_Airport_st_W_35g_L2,Mussafah,Entry,100,71365,100,1004,AD Private,7,AD,100,7,11,118,100
02064F12-61D5-4A18-AB7F-D2BBE70491F7,2020-01-01 20:11:31.7100000,A5_Airport_st_W_35g_L3,Mussafah,Entry,100,20627,100,1010,AD Private,13,AD,100,13,23,89,100
028EABCA-30D0-414D-B4C1-55C9AC126032,2020-01-01 20:14:30.9000000,BAJ1_Zayed_bg_Erd_20L_En4,Sheik Zayed,Entry,100,69620,100,1011,AD Private,14,AD,100,14,25,106,100
0308CD12-6365-4E38-9764-CD4830C21770,2020-01-01 20:12:21.8000000,BAJ1_Zayed_bg_Erd_20L_En4,Sheik Zayed,Entry,100,Unknown,100,-1,Unknown,NULL,Unknown,100,,0,117,100
03187ACF-0C6A-46F1-BA71-48F23CC43CA4,2020-01-01 20:12:12.0000000,E19_Khalifa_br_N_1g_L4,Sheik Khalifa,Exit,100,5220,100,1024,AD Taxi,NULL,AD,100,,35,84,100
032CAE71-B10F-4D4C-B0B5-1B00DAD0ED2F,2020-01-01 20:12:37.5900000,A5_Airport_st_E_2g_L3,Mussafah,Exit,100,93393,100,1004,AD Private,7,AD,100,7,12,98,100
03544B14-8C9A-4C01-A1F1-B8425C2A22C4,2020-01-01 20:10:14.6700000,A5_Airport_st_E_2g_L4,Mussafah,Exit,100,42167,100,1007,AD Private,10,AD,100,10,17,99,100
039D65DC-5EBB-45DC-9953-AD660A671F80,2020-01-01 20:14:36.6400000,A5_Airport_st_W_35g_L2,Mussafah,Entry,100,16346,100,1009,AD Private,12,AD,100,12,22,100,100
03C1C099-AA94-4140-9FAD-65995E1C2760,2020-01-01 20:11:24.0500000,A3_Al Maktoum_st_E_64g_L4,Al Maqta,Exit,100,11181,100,1006,AD Private,9,AD,100,9,15,101,100
03D5A127-E764-48D8-99D8-6EF7A78104BC,2020-01-01 20:11:13.1100000,A5_Airport_st_E_2g_L2,Mussafah,Exit,100,8093,100,1024,AD Taxi,NULL,AD,100,,35,92,100
03DB9857-E099-41B2-BD84-0375D1457AF3,2020-01-01 20:10:59.2600000,A3_Al Maktoum_st_W_1g_L4,Al Maqta,Entry,100,85709,100,1002,AD Private,5,AD,100,5,7,91,100
03F28136-689E-4D34-93EA-6FDA9C960565,2020-01-01 20:13:03.0100000,A5_Airport_st_E_2g_L5,Mussafah,Exit,100,78165,100,1005,AD Private,8,AD,100,8,13,115,100
042BF2D1-740C-4E80-B6EF-85147FDA97A7,2020-01-01 20:13:07.0100000,A5_Airport_st_E_2g_L3,Mussafah,Exit,100,58789,100,1001,AD Private,4,AD,100,4,5,97,100
04B4F267-8D66-47A1-877B-F395BD46F38B,2020-01-01 20:12:25.3100000,A5_Airport_st_E_2g_L3,Mussafah,Exit,100,5100,100,1024,AD Taxi,NULL,AD,100,,35,111,100
04F30555-B935-4924-9811-67F34A666A87,2020-01-01 20:13:50.3400000,E19_Khalifa_br_S_1g_L2,Sheik Khalifa,Entry,100,72058,100,1007,AD Private,10,AD,100,10,17,67,100
050C9736-E80A-4E8C-8E9C-FD53D3F2FFFD,2020-01-01 20:10:31.2200000,E19_Khalifa_br_N_1g_L4,Sheik Khalifa,Exit,100,14117,100,1002,AD Private,5,AD,100,5,7,79,100
0521A9CA-A940-4937-BEA4-1FF097354995,2020-01-01 20:13:30.4000000,BAJ1_Zayed_bg_Erd_21L_Ex4,Sheik Zayed,Exit,100,34748,100,1001,AD Private,4,AD,100,4,5,92,100
